#ref_rl	read_1	read_2	read_3	read_4	read_5	read_6	read_7	read_8	read_9	read_10	read_11	read_12	read_13	read_14	read_15	read_16	read_17	read_18	read_19	read_20	read_21	read_22	read_23	read_24	read_25	read_26	read_27	read_28	read_29	read_30	read_31	read_32	read_33	read_34	read_35	read_36	read_37	read_38	read_39	read_40	read_41	read_42	read_43	read_44	read_45	read_46	read_47	read_48	read_49	read_50	read_51	read_52	read_53	read_54	read_55	read_56	read_57	read_58	read_59	read_60	read_61	read_62	read_63	read_64	read_65	read_66	read_67	read_68	read_69	read_70	read_71	read_72	read_73	read_74	read_75	read_76	read_77	read_78	read_79	read_80	read_81	read_82	read_83	read_84	read_85	read_86	read_87	read_88	read_89	read_90	read_91	read_92	read_93	read_94	read_95	read_96	read_97	read_98	read_99	read_100+
42	264	292	274	240	272	266	258	240	184	157	172	135	135	130	128	142	134	132	129	126	139	153	168	157	173	189	205	219	232	221	234	221	207	244	265	270	283	254	340	404	611	4584	50	12	9	10	6	12	2	9	12	1	9	2	2	0	1	0	0	5	0	0	1	2	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	185	202	191	165	163	174	162	105	137	110	95	100	92	100	78	82	90	96	93	99	92	93	94	105	100	106	100	115	131	134	123	110	140	125	148	148	155	147	125	150	240	319	3104	28	9	8	5	7	20	3	2	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	139	152	139	122	145	137	137	104	102	95	87	78	78	79	68	77	69	81	72	73	73	81	72	77	90	106	93	93	92	105	105	97	99	99	122	89	119	110	124	106	133	171	271	2346	15	3	6	4	0	1	1	0	0	1	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	103	120	105	128	130	99	118	100	85	82	82	77	68	52	58	75	69	66	73	57	64	67	65	68	77	78	83	84	73	82	76	84	90	80	100	96	88	104	99	83	113	100	144	252	2008	14	6	2	2	1	1	1	0	0	1	1	0	2	1	1	0	3	1	0	1	1	0	0	0	0	0	0	1	1	0	0	3	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	122	130	119	122	134	110	129	87	94	70	73	64	70	55	47	67	46	54	62	62	75	62	66	75	69	74	86	75	73	82	107	82	82	89	65	81	79	77	90	70	90	89	101	148	229	1955	21	9	4	1	2	1	0	2	2	4	4	16	0	7	1	0	0	1	1	1	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	124	117	118	120	105	137	97	97	80	100	63	72	59	71	64	60	69	81	71	80	70	59	65	64	73	77	80	70	70	92	89	93	95	85	101	91	97	99	88	95	102	76	121	106	143	191	1981	22	3	1	2	4	12	12	12	0	0	0	0	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	64	112	88	94	100	91	88	80	65	56	48	47	49	57	59	45	61	55	69	56	47	52	61	64	52	70	69	68	59	68	62	68	55	56	68	65	60	77	72	55	65	77	64	67	69	106	158	1442	9	4	1	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0
49	100	92	84	98	87	91	69	54	62	48	42	38	50	57	48	46	43	46	46	52	50	51	48	55	47	51	42	61	50	65	76	59	53	73	53	50	55	57	53	64	56	63	70	45	51	69	114	148	1273	6	2	0	0	1	11	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	50	63	60	57	66	67	61	53	40	42	40	36	32	35	45	39	40	40	46	28	26	34	25	36	39	29	48	44	33	42	61	56	43	50	39	40	41	37	56	46	43	44	41	42	38	66	41	66	95	990	11	4	0	1	5	11	6	0	0	4	16	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	53	74	75	81	87	71	55	48	48	43	50	45	44	44	34	46	48	45	25	47	38	45	48	45	45	43	35	43	52	39	54	33	47	55	50	48	47	36	41	37	71	46	49	42	47	47	35	56	70	70	1098	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	52	48	45	51	36	43	34	40	39	36	41	25	24	21	35	28	38	35	34	34	23	27	32	38	29	28	22	27	30	34	31	34	32	41	34	31	37	21	29	37	30	34	21	34	43	33	37	47	49	54	70	787	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	24	29	42	33	33	35	23	28	25	23	22	30	20	25	22	27	34	23	23	27	21	25	25	27	22	16	18	22	23	20	18	20	21	22	18	23	38	16	17	21	26	18	15	22	17	29	18	26	25	33	42	51	501	2	3	0	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
